freq : 916.66 MHz
SWR : 7.33
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
80  75  -1.46        0.71           74.44 
85  75  -0.07        0.98           78.55 
90  75  0.42        1.10           79.72 
95  75  -0.08        0.98           78.63 
100  75  -1.47        0.71           74.63 
105  75  -3.30        0.47           66.07 
110  75  -4.44        0.36           53.42 
115  75  -3.99        0.40           43.95 
120  75  -2.54        0.56           42.82 
125  75  -1.25        0.75           47.85 
130  75  1.39        1.38           56.21 
135  75  2.20        1.66           60.47 
140  75  2.81        1.91           66.10 
145  75  2.96        1.98           71.15 
150  75  2.49        1.77           75.45 
155  75  1.61        1.45           79.21 
160  75  0.07        1.02           82.50 
165  75  -2.17        0.61           85.33 
170  75  -5.48        0.28           87.60 
175  75  -11.39        0.07           89.51 
180  75  -45.11        0.00           177.64 
0  80  -45.11        0.00           2.36 
5  80  -11.36        0.07           87.17 
10  80  -5.46        0.28           86.42 
15  80  -2.15        0.61           84.55 
20  80  0.09        1.02           81.92 
25  80  1.63        1.46           78.75 
30  80  2.50        1.78           75.06 
35  80  2.97        1.98           70.82 
40  80  2.83        1.92           65.80 
45  80  2.21        1.66           60.19 
50  80  1.41        1.38           55.93 
55  80  -1.22        0.76           47.54 
60  80  -2.50        0.56           42.51 
65  80  -3.95        0.40           43.62 
70  80  -4.40        0.36           53.07 
75  80  -3.28        0.47           65.78 
80  80  -1.46        0.71           74.44 
85  80  -0.07        0.98           78.55 
90  80  0.42        1.10           79.72 
95  80  -0.08        0.98           78.63 
100  80  -1.47        0.71           74.63 
105  80  -3.30        0.47           66.07 
110  80  -4.44        0.36           53.42 
115  80  -3.99        0.40           43.95 
120  80  -2.54        0.56           42.82 
125  80  -1.25        0.75           47.85 
130  80  1.39        1.38           56.21 
135  80  2.20        1.66           60.47 
140  80  2.81        1.91           66.10 
145  80  2.96        1.98           71.15 
150  80  2.49        1.77           75.45 
155  80  1.61        1.45           79.21 
160  80  0.07        1.02           82.50 
165  80  -2.17        0.61           85.33 
170  80  -5.48        0.28           87.60 
175  80  -11.39        0.07           89.51 
180  80  -45.11        0.00           177.64 
0  85  -45.11        0.00           2.36 
5  85  -11.36        0.07           87.17 
10  85  -5.46        0.28           86.42 
15  85  -2.15        0.61           84.55 
20  85  0.09        1.02           81.92 
25  85  1.63        1.46           78.75 
30  85  2.50        1.78           75.06 
35  85  2.97        1.98           70.82 
40  85  2.83        1.92           65.80 
45  85  2.21        1.66           60.19 
50  85  1.41        1.38           55.93 
55  85  -1.22        0.76           47.54 
60  85  -2.50        0.56           42.51 
65  85  -3.95        0.40           43.62 
70  85  -4.40        0.36           53.07 
75  85  -3.28        0.47           65.78 
80  85  -1.46        0.71           74.44 
85  85  -0.07        0.98           78.55 
90  85  0.42        1.10           79.72 
95  85  -0.08        0.98           78.63 
100  85  -1.47        0.71           74.63 
105  85  -3.30        0.47           66.07 
110  85  -4.44        0.36           53.42 
115  85  -3.99        0.40           43.95 
120  85  -2.54        0.56           42.82 
125  85  -1.25        0.75           47.85 
130  85  1.39        1.38           56.21 
135  85  2.20        1.66           60.47 
140  85  2.81        1.91           66.10 
145  85  2.96        1.98           71.15 
150  85  2.49        1.77           75.45 
155  85  1.61        1.45           79.21 
160  85  0.07        1.02           82.50 
165  85  -2.17        0.61           85.33 
170  85  -5.48        0.28           87.60 
175  85  -11.39        0.07           89.51 
180  85  -45.11        0.00           177.64 
0  90  -45.11        0.00           2.36 
5  90  -11.36        0.07           87.17 
10  90  -5.46        0.28           86.42 
15  90  -2.15        0.61           84.55 
20  90  0.09        1.02           81.92 
25  90  1.63        1.46           78.75 
30  90  2.50        1.78           75.06 
35  90  2.97        1.98           70.82 
40  90  2.83        1.92           65.80 
45  90  2.21        1.66           60.19 
50  90  1.41        1.38           55.93 
55  90  -1.22        0.76           47.54 
60  90  -2.50        0.56           42.51 
65  90  -3.95        0.40           43.62 
70  90  -4.40        0.36           53.07 
75  90  -3.28        0.47           65.78 
80  90  -1.46        0.71           74.44 
85  90  -0.07        0.98           78.55 
90  90  0.42        1.10           79.72 
95  90  -0.08        0.98           78.63 
100  90  -1.47        0.71           74.63 
105  90  -3.30        0.47           66.07 
110  90  -4.44        0.36           53.42 
115  90  -3.99        0.40           43.95 
120  90  -2.54        0.56           42.82 
125  90  -1.25        0.75           47.85 
130  90  1.39        1.38           56.21 
135  90  2.20        1.66           60.47 
140  90  2.81        1.91           66.10 
145  90  2.96        1.98           71.15 
150  90  2.49        1.77           75.45 
155  90  1.61        1.45           79.21 
160  90  0.07        1.02           82.50 
165  90  -2.17        0.61           85.33 
170  90  -5.48        0.28           87.60 
175  90  -11.39        0.07           89.51 
180  90  -45.11        0.00           177.64 
0  95  -45.11        0.00           2.36 
5  95  -11.36        0.07           87.17 
10  95  -5.46        0.28           86.42 
15  95  -2.15        0.61           84.55 
20  95  0.09        1.02           81.92 
25  95  1.63        1.46           78.75 
30  95  2.50        1.78           75.06 
35  95  2.97        1.98           70.82 
40  95  2.83        1.92           65.80 
45  95  2.21        1.66           60.19 
50  95  1.41        1.38           55.93 
55  95  -1.22        0.76           47.54 
60  95  -2.50        0.56           42.51 
65  95  -3.95        0.40           43.62 
70  95  -4.40        0.36           53.07 
75  95  -3.28        0.47           65.78 
80  95  -1.46        0.71           74.44 
85  95  -0.07        0.98           78.55 
90  95  0.42        1.10           79.72 
95  95  -0.08        0.98           78.63 
100  95  -1.47        0.71           74.63 
105  95  -3.30        0.47           66.07 
110  95  -4.44        0.36           53.42 
115  95  -3.99        0.40           43.95 
120  95  -2.54        0.56           42.82 
125  95  -1.25        0.75           47.85 
130  95  1.39        1.38           56.21 
135  95  2.20        1.66           60.47 
140  95  2.81        1.91           66.10 
145  95  2.96        1.98           71.15 
150  95  2.49        1.77           75.45 
155  95  1.61        1.45           79.21 
160  95  0.07        1.02           82.50 
165  95  -2.17        0.61           85.33 
170  95  -5.48        0.28           87.60 
175  95  -11.39        0.07           89.51 
180  95  -45.11        0.00           177.64 
0  100  -45.11        0.00           2.36 
5  100  -11.36        0.07           87.17 
10  100  -5.46        0.28           86.42 
15  100  -2.15        0.61           84.55 
20  100  0.09        1.02           81.92 
25  100  1.63        1.46           78.75 
30  100  2.50        1.78           75.06 
35  100  2.97        1.98           70.82 
40  100  2.83        1.92           65.80 
45  100  2.21        1.66           60.19 
50  100  1.41        1.38           55.93 
55  100  -1.22        0.76           47.54 
60  100  -2.50        0.56           42.51 
65  100  -3.95        0.40           43.62 
70  100  -4.40        0.36           53.07 
75  100  -3.28        0.47           65.78 
80  100  -1.46        0.71           74.44 
85  100  -0.07        0.98           78.55 
90  100  0.42        1.10           79.72 
95  100  -0.08        0.98           78.63 
100  100  -1.47        0.71           74.63 
105  100  -3.30        0.47           66.07 
110  100  -4.44        0.36           53.42 
115  100  -3.99        0.40           43.95 
120  100  -2.54        0.56           42.82 
125  100  -1.25        0.75           47.85 
130  100  1.39        1.38           56.21 
135  100  2.20        1.66           60.47 
140  100  2.81        1.91           66.10 
145  100  2.96        1.98           71.15 
150  100  2.49        1.77           75.45 
155  100  1.61        1.45           79.21 
160  100  0.07        1.02           82.50 
165  100  -2.17        0.61           85.33 
170  100  -5.48        0.28           87.60 
175  100  -11.39        0.07           89.51 
180  100  -45.11        0.00           177.64 
0  105  -45.11        0.00           2.36 
5  105  -11.36        0.07           87.17 
10  105  -5.46        0.28           86.42 
15  105  -2.15        0.61           84.55 
